Date, Time, Amount, Type, Description
2024-12-31,13:58:31,-7.00,Withdrawal,"CULTIVATEDCULTURE.COM 197 Van Vorst StreetApa JERSEY CITY, NJ, US"
2024-12-31,13:36:36,-19.83,Withdrawal,"DAIRY QUEEN #11401 1224 PEORIA ST WASHINGTON, IL, US"
2024-12-31,04:26:44,-10.00,Withdrawal,"GITHUB, INC. 88 Colin P Kelly Jr. St SAN FRANCISCO, CA, US"
2024-12-30,22:55:35,-4.96,Withdrawal,"WM SUPERCENTER #5157 Wal-Mart Super Center MORTON, IL, US"
2024-12-30,19:41:44,-25.24,Withdrawal,"DOLLAR GENERAL #22695 DG 22695101 COMMERCIAL GOODFIELD, IL, US"
2024-12-30,04:05:53,-3.00,Withdrawal,Subscription Acorns
2024-12-29,13:37:50,-64.78,Withdrawal,"TST*LA FIESTA - MORTON 837 W Jackson St Morton, IL, US"
2024-12-29,13:29:37,-0.99,Withdrawal,"APPLE.COM/BILL ONE APPLE PARK CUPERTINO, CA, US"
2024-12-29,04:45:24,-251.62,Withdrawal,"COF MERCHNT BIL 7933 Preston Rd PLANO, TX, US"
2024-12-28,14:50:23,-13.22,Withdrawal,"CIRCLE K 00161 319 N. MAIN MORTON, IL, US"
2024-12-27,14:49:58,-246.91,Withdrawal,"HEARTLAND HEARTLAND VE MORTON, IL, US"
2024-12-26,01:30:16,-18.35,Withdrawal,AFFIRM INC AFFIRM PAY~ Future Amount: 18.35 ~ Tran: ACHDW
2024-12-24,16:08:59,-32.23,Withdrawal,"BURGER KING #10361 Q07 1810 NORTH MORTON AVENU MORTON, IL, US"
2024-12-24,16:03:50,-7.00,Withdrawal,"CULTIVATEDCULTURE.COM 197 Van Vorst StreetApa JERSEY CITY, NJ, US"
2024-12-24,15:59:02,-93.42,Withdrawal,"CIRCLE K # 01424 1801 N MORTON AVE MORTON, IL, US"
2024-12-24,15:29:12,-516.63,Withdrawal,"WM SUPERCENTER #5157 Wal-Mart Super Center MORTON, IL, US"
2024-12-24,05:28:37,50.00,Deposit,VENMO CASHOUT
2024-12-24,04:02:46,-33.21,Withdrawal,"ARBYS 8865 133 E ASHLAND ST MORTON, IL, US"
2024-12-24,01:29:49,-100.00,Withdrawal,"CASH APP*DAVID CAPPS*ADD SQUAREUP.COM OAKLAND, CA, US"
2024-12-23,18:51:47,-247.28,Withdrawal,"WM SUPERCENTER #5157 Wal-Mart Super Center MORTON, IL, US"
2024-12-23,18:17:54,-7.70,Withdrawal,"WM SUPERCENTER #5157 Wal-Mart Super Center MORTON, IL, US"
2024-12-23,17:50:00,-40.00,Withdrawal,"CASH APP*DAVID CAPPS*ADD SQUAREUP.COM OAKLAND, CA, US"
2024-12-23,17:49:54,-22.76,Withdrawal,"NNT PETSMART # 1882000581 208 RIVER ROAD EAST PEORIA, IL, US"
2024-12-23,17:49:44,-8.99,Withdrawal,AtlasFinancial Payment
2024-12-23,14:24:20,-2.55,Withdrawal,"AMOCO#1794577MORTONQPS 601 W JACKSON ST MORTON, IL, US"
2024-12-23,02:52:12,-709.00,Withdrawal,Bridgecrest DT RETAIL
2024-12-23,02:35:12,-170.84,Withdrawal,Nicor Gas NICPayment
2024-12-22,14:55:52,-12.80,Withdrawal,"CIRCLE K 00161 319 N. MAIN MORTON, IL, US"
2024-12-22,14:47:47,-19.99,Withdrawal,"NO-IP 425 MAESTRO DR FLOOR 2 7758531883, NV, US"
2024-12-22,14:44:12,-12.00,Withdrawal,"SQSP* INV162332655 225 Varick St NEW YORK, NY, US"
2024-12-22,04:42:28,-32.05,Withdrawal,"DOMINO'S 2817 11 E JACKSON ST MORTON, IL, US"
2024-12-22,04:32:14,-26.70,Withdrawal,"PAYTOMORROW 9920 KINCEY AVE STE 190 866-4185857, NC, US"
2024-12-21,14:46:06,-8.05,Withdrawal,"CASEYS #1507 312 E 1ST AVE DEER CREEK, IL, US"
2024-12-21,04:48:21,-120.99,Withdrawal,"DIRECTV*STREAM 4331 COMMUNICATIONS DR 800-531-5000, TX, US"
2024-12-21,04:46:19,-7.67,Withdrawal,"MICROSOFT*MICROSOFT 36 ONE MICROSOFT WAY MSBILL.INFO, WA, US"
2024-12-20,15:50:06,-32.27,Withdrawal,"MCDONALD'S F1919 2205 N KNOXVILLE AVE PEORIA, IL, US"
2024-12-20,14:59:03,-28.65,Withdrawal,"DAIRY QUEEN #11401 1224 PEORIA ST WASHINGTON, IL, US"
2024-12-20,13:10:51,-943.81,Withdrawal,"AMEREN PO BOX 149 ST. LOUIS, MO, US"
2024-12-20,08:29:23,-8.09,Withdrawal,"CASEYS #1507 312 E 1ST AVE DEER CREEK, IL, US"
2024-12-20,03:48:35,-385.36,Withdrawal,FIVE LAKES (CFT) 8443588358
2024-12-20,01:14:59,-20.17,Withdrawal,AFFIRM INC AFFIRM PAY~ Future Amount: 20.17 ~ Tran: ACHDW
2024-12-20,00:36:20,-93.45,Withdrawal,"WM SUPERCENTER #5157 Wal-Mart Super Center MORTON, IL, US"
2024-12-19,18:13:36,-445.92,Withdrawal,"WAL WAL-MART SUPER 001034 1421 WAL-SAMS WASHINGTON, IL, US"
2024-12-19,04:15:46,-33.55,Withdrawal,"PAYPAL *LNSJHDDE84S 89 Neil Road, #03-01 13241649400, HK, HK"
2024-12-19,03:56:47,3018.59,Deposit,AMENTUM SERVICES DIRECT DEP
2024-12-19,03:48:41,-6.00,Withdrawal,Rocket Money Premium
2024-12-18,23:32:57,0.36,Deposit,Interest Paid
2024-12-18,22:32:22,-52.00,Withdrawal,"CASH APP*DAVID CAPPS*ADD SQUAREUP.COM OAKLAND, CA, US"
2024-12-18,14:42:08,-17.99,Withdrawal,"SEZZLE INC 700 NICOLET MALL #640 MINNEAPOLIS, MN, US"
2024-12-17,15:34:03,-7.00,Withdrawal,"CULTIVATEDCULTURE.COM 197 Van Vorst StreetApa JERSEY CITY, NJ, US"
2024-12-17,15:12:50,-63.89,Withdrawal,"PROGRESSIVE INS 6300 Wilson Mills Rd 800-776-4737, OH, US"
2024-12-16,15:08:22,-7.07,Withdrawal,"BIZ PERFORMANCE HQ 34 Seaside Dve KINGSCLIFF, NS, AU"
2024-12-16,06:17:04,-20.00,Withdrawal,Cash App David Capp
2024-12-16,04:07:50,-160.20,Withdrawal,MEDIACOM - CHILL EFT PAYMNT
2024-12-14,22:53:53,-21.01,Withdrawal,"WAL-MART #5157 155 EAST COURTLAND STR MORTON, IL, US"
2024-12-14,16:42:51,-3.83,Withdrawal,"CIRCLE K 00161 319 N. MAIN MORTON, IL, US"
2024-12-14,16:17:55,-9.99,Withdrawal,"CLOAKED* IND MONTH 1075 Westford StreetSui LOWELL, MA, US"
2024-12-14,16:06:21,-212.12,Withdrawal,"MCM*DEERCREEK 101 W First Ave DEER CREEK, IL, US"
2024-12-14,16:05:54,-1.91,Withdrawal,"AMOCO#1794577MORTONQPS 601 W JACKSON ST MORTON, IL, US"
2024-12-13,14:57:22,-98.15,Withdrawal,"CASEYS #1507 312 E 1ST AVE DEER CREEK, IL, US"
2024-12-13,00:34:42,-105.99,Withdrawal,"WM SUPERCENTER #5157 Wal-Mart Super Center MORTON, IL, US"
2024-12-12,15:34:54,-6.00,Withdrawal,"ILSOS ROANOKE VEHICLE 106 W BROAD ST ROANOKE, IL, US"
2024-12-12,13:04:16,-38.81,Withdrawal,"CASEYS #2095 1801 S MAIN ST EUREKA, IL, US"
2024-12-12,04:12:44,-35.53,Withdrawal,"ARBYS 8865 133 E ASHLAND ST MORTON, IL, US"
2024-12-12,01:03:41,-13.57,Withdrawal,AFFIRM INC AFFIRM PAY~ Future Amount: 13.57 ~ Tran: ACHDW
2024-12-11,20:30:45,-59.83,Withdrawal,"MNRD-WASHINGTON 1975 FREEDOM PARKWAY WASHINGTON, IL, US"
2024-12-11,04:43:49,-5.00,Withdrawal,"MEDIUM MONTHLY 548 Market StPMB 42061 SAN FRANCISCO, CA, US"
2024-12-11,04:34:36,-4.25,Withdrawal,"APPLE.COM/BILL ONE APPLE PARK WAY 866-712-7753, CA, US"
2024-12-10,20:30:30,-12.47,Withdrawal,"WM SUPERCENTER #5157 Wal-Mart Super Center MORTON, IL, US"
2024-12-10,18:04:59,-1.99,Withdrawal,"GOOGLE *GOOGLE ONE MOUNTAIN VIEW, CA, US"
2024-12-10,15:32:52,-7.00,Withdrawal,"CULTIVATEDCULTURE.COM 197 Van Vorst StreetApa JERSEY CITY, NJ, US"
2024-12-10,14:49:03,-195.00,Withdrawal,"IN *CALDWELL RENTALS D 85 SERVICEMASTER DR 731-6422247, TN, US"
2024-12-09,16:06:16,-18.08,Withdrawal,"CASEYS #1507 312 E 1ST AVE DEER CREEK, IL, US"
2024-12-09,14:36:48,-12.47,Withdrawal,"CIRCLE K # 01200 425 W. Jackson MORTON, IL, US"
2024-12-09,14:01:25,-35.94,Withdrawal,"DAIRY QUEEN #11401 1224 PEORIA ST WASHINGTON, IL, US"
2024-12-09,09:52:59,-20.53,Withdrawal,"DOMINO'S 2817 11 E JACKSON ST MORTON, IL, US"
2024-12-09,05:33:05,70.00,Deposit,VENMO CASHOUT
2024-12-08,19:34:07,-134.60,Withdrawal,"MNRD-WASHINGTON 1975 FREEDOM PARKWAY WASHINGTON, IL, US"
2024-12-08,15:02:42,-231.17,Withdrawal,"ROOT INSURANCE 80 E RICH ST #500 6149150703, OH, US"
2024-12-08,12:02:38,-0.99,Withdrawal,"APPLE COM BILL CUPERTINO, CA, US"
2024-12-08,05:07:38,-26.70,Withdrawal,"PAYTOMORROW 9920 KINCEY AVE STE 190 866-4185857, NC, US"
2024-12-07,20:30:48,-72.00,Withdrawal,"CASH APP*DAVID CAPPS*ADD SQUAREUP.COM OAKLAND, CA, US"
2024-12-07,16:15:33,-21.23,Withdrawal,"HP *INSTANT INK 3400 Hanover St 855-785-2777, CA, US"
2024-12-06,14:59:51,-32.30,Withdrawal,"CRACKER BARREL #209 MO 150 E ASHLAND ST MORTON, IL, US"
2024-12-06,10:16:28,-85.39,Withdrawal,"AMAZON.COM*ZR6T22NN0 AMAZON.COM SEATTLE, WA, US"
2024-12-06,05:14:21,-99.93,Withdrawal,AMEX EPAYMENT ACH PMT
2024-12-06,04:41:02,-26.16,Withdrawal,"Klarna*5klarna3 629 N High St  Floor 3 Columbus, OH, US"
2024-12-06,04:32:49,-16.38,Withdrawal,"Klarna*5klarna2 629 N High St  Floor 3 Columbus, OH, US"
2024-12-06,04:29:02,-385.36,Withdrawal,FIVE LAKES (CFT) 8443588358
2024-12-06,04:22:42,-380.67,Withdrawal,CAPITAL ONE MOBILE PMT
2024-12-06,04:04:44,-105.30,Withdrawal,"AFTERPAY 760 Market Street, Floo SAN FRANCISCO, CA, US"
2024-12-06,04:03:53,-46.10,Withdrawal,"Klarna*5klarna5 629 N High St  Floor 3 Columbus, OH, US"
2024-12-06,01:25:08,-18.84,Withdrawal,"WM SUPERCENTER #5157 Wal-Mart Super Center MORTON, IL, US"
2024-12-05,03:33:24,3068.59,Deposit,AMENTUM SERVICES DIRECT DEP
2024-12-05,03:33:24,6329.96,Deposit,AMENTUM SERVICES DIRECT DEP
2024-12-05,03:27:32,-50.00,Withdrawal,Mission Lane LLC EDI PYMNTS
2024-12-04,15:16:42,-11.29,Withdrawal,"AFTERPAY 760 Market Street, Floo SAN FRANCISCO, CA, US"
2024-12-04,06:18:00,-10.00,Withdrawal,Cash App David Capp
2024-12-04,01:48:24,-11.90,Withdrawal,AFFIRM INC AFFIRM PAY~ Future Amount: 11.9 ~ Tran: ACHDW
2024-12-03,15:39:36,-7.00,Withdrawal,"CULTIVATEDCULTURE.COM 197 Van Vorst StreetApa JERSEY CITY, NJ, US"
2024-12-03,00:47:01,-46.14,Withdrawal,"WM SUPERCENTER #5157 Wal-Mart Super Center MORTON, IL, US"
2024-12-02,14:41:25,-37.67,Withdrawal,"ALIEXPRESS 400 S EL CAMINO REAL FL 800-981-3590, CA, US"
2024-12-02,03:27:22,-3.00,Withdrawal,Subscription Acorns
2024-12-01,19:01:58,-146.08,Withdrawal,"WAL-MART #5157 155 EAST COURTLAND STR MORTON, IL, US"
2024-12-01,04:50:13,-10.00,Withdrawal,"GITHUB, INC. 88 Colin P Kelly Jr. St SAN FRANCISCO, CA, US"
